,targets,gpt3_generated_queries,targets result,gpt3 resilt,correct sintaxis,wrong query type,wrong query pattern,KG structure ignored,incomplete query,missed query,Angle brackets missed,incomplete triple,namespace mistake,hops target,hops generated,Errors sum
56,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q11571 (wdt:P19/wdt:P1082) ?v1. 
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Cristiano_Ronaldo> ns1:birthPlace ?uri .   SELECT (COUNT(?inhabitants) AS ?totalInhabitants) WHERE {    ?uri ns1:populationTotal ?inhabitants .    <http://dbpedia.org/resource/Cristiano_Ronaldo> ns1:birthPlace ?uri .  },111892,,FALSE,,1,,,,,,1,,,2
57,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 (wdt:P166/wdt:P279) wd:Q7191;
    wdt:P27 wd:Q17;
    wdt:P106 wd:Q36180.
}","SELECT (COUNT(?writer) AS ?count) WHERE {
  ?writer wdt:P27 wd:Q17;
    wdt:P106 wd:Q36180.
}",3,2921,1,,1,1,,,,,,,,2
58,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE { 
  wd:Q668 wdt:P2936 ?v1. 
}",SELECT (COUNT(?lan) AS ?count) WHERE {    http://www.wikidata.org/entity/Q668 http://www.wikidata.org/prop/direct/P2936 ?lan . },438,,FALSE,,,,,,1,,,,,1
59,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE { 
  wd:Q283 wdt:P462 ?v1. 
}","SELECT ?color WHERE { 
  wd:Q283 wdt:P462 ?color. 
}",6,"wd:Q3133
 wd:Q23444
 wd:Q1396399
 wd:Q5148636
 wd:Q5960345
 wd:Q17244894",1,,1,,,,,,,,,1
60,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE { 
  wd:Q153793 wdt:P937 ?v1. 
}",SELECT DISTINCT ?loc WHERE { http://www.wikidata.org/entity/Q153793 http://www.wikidata.org/prop/direct/P937 ?loc },12,,FALSE,,,,,,1,,,,,1
61,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q1311 p:P2922 ?v3.
  ?v3 ps:P2922 ?v1;
    (pq:P3005/wdt:P527) ?v4.
  wd:Q183 (wdt:P361*) ?v4.
}",SELECT ?v1 WHERE {    <http://www.wikidata.org/entity/Q183> <http://www.wikidata.org/prop/direct/P361> <http://www.wikidata.org/entity/Q1311> .    <http://www.wikidata.org/entity/Q1311> <http://www.wikidata.org/prop/P2922> ?v1 .    ?v1 <http://www.wikidata.org/prop/statement/P2922,3,,FALSE,,1,,1,,,,,,,2
62,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q82464 wdt:P50 ?v3.
  ?v1 wdt:P31 wd:Q7725634;
    wdt:P50 ?v3.
  FILTER(?v1 != wd:Q82464)
}",SELECT (COUNT(?v1) AS ?count) WHERE { ?v1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q7725634> ; <http://www.wikidata.org/prop/direct/P50> <http://www.wikidata.org/entity/Q30875> ; <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q7725634,33,,FALSE,,,,1,,,,,,,1
63,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 wdt:P31 wd:Q7725634;
    wdt:P50 wd:Q7245.
}","SELECT (COUNT(?work) AS ?worksWritten) WHERE {
  ?work wdt:P50 wd:Q7245;
    wdt:P31 wd:Q7725634.
  wd:Q7245 wdt:P50 ?author.
  ?author wdt:P31 wd:Q16385809.
}",62,0,1,,,1,,,,,,,,1
64,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE { 
  wd:Q7245 wdt:P106 ?v1. 
}",SELECT (COUNT(?occ) AS ?count) WHERE { http://www.wikidata.org/entity/Q7245 http://www.wikidata.org/prop/direct/P106 ?occ . },12,,FALSE,,,,,,1,,,,,1
65,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 wdt:P27 wd:Q145.
  wd:Q79037 (p:P175/ps:P175) ?v1.
}","SELECT (COUNT(?performer) AS ?count) WHERE {
  ?performer wdt:P31 wd:Q2023710;
    wdt:P27 wd:Q145.
}",2,0,1,,1,1,,,,,,,,2
66,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE { 
  wd:Q30 (p:P37/ps:P37) ?v1. 
}",@prefix ns1: <http://dbpedia.org/property/> .  <http://dbpedia.org/resource/United_States> ns1:officialLanguages <http://dbpedia.org/resource/English_language> .  <http://dbpedia.org/resource/United_States> ns1:officialLanguages <http://dbpedia.org/resource/Spanish_language> .   SELECT (COUNT(?uri) AS ?count) WHERE { ?uri <http://dbpedia.org/property/officialLanguages> <http://,3,,FALSE,,,,1,,,,1,,,2
67,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE { 
  wd:Q843 (p:P37/ps:P37) ?v1. 
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Pakistan> a ns1:Country ;     ns1:officialLanguage ?lang .   SELECT (COUNT(?lang) AS ?count) WHERE { <http://dbpedia.org/resource/Pakistan> a ns1:Country ; ns1:officialLanguage ?lang . },2,,FALSE,,,,,,,,1,,,1
68,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v3 wdt:P57 wd:Q55400;
    wdt:P166 ?v1.
  ?v1 wdt:P31 wd:Q19020.
}","SELECT (COUNT(?movie) AS ?totalOscars) WHERE {
  ?movie wdt:P166 wd:Q155653;
    wdt:P31 wd:Q19020;
    (wdt:P166/wdt:P57) ?award.
  FILTER(?award = wd:Q55400)
}",1,0,1,,1,1,,,,,,,,2
69,"SELECT (COUNT(?movie) AS ?totalOscars) WHERE {
  ?movie wdt:P166 wd:Q155653;
    wdt:P31 wd:Q19020;
    (wdt:P166/wdt:P57) ?award.
  FILTER(?award = wd:Q55400)
}","SELECT DISTINCT ?n WHERE {
  wd:Q4584302 wdt:P157 ?n;
    wdt:P31 wd:Q5.
}",0,wd:Q201377,1,,1,1,,,,,,,,2
70,"SELECT (MAX(?v1) AS ?v2) WHERE { 
  wd:Q58715 (wdt:P1542/wdt:P1120) ?v1. 
}","@prefix ns1: <http://dbpedia.org/ontology/> .  @prefix ns2: <http://dbpedia.org/property/> .  <http://dbpedia.org/resource/Great_Leap_Forward> a ns1:Event ;      ns2:deaths ""45000000"" ;      ns2:highestEstimate ""45000000"" .  SELECT (SUM(?deaths) AS ?totalDeaths) WHERE {    ?event <http://www.w3.org/1999/02/22-",45000000,,FALSE,,,,1,,,,1,,,2
71,"SELECT (SUM(?v1) AS ?v2) WHERE {
  ?v3 wdt:P31 wd:Q515;
    wdt:P206 wd:Q3392;
    wdt:P1082 ?v1.
}","SELECT DISTINCT ?n WHERE {
  ?city wdt:P31 wd:Q515;
    wdt:P206 wd:Q3392;
    wdt:P1082 ?n.
}",15948210,"5345000
68656
133772
267913
525953
9606916",1,,1,,,,,,,,,1
72,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q202021 wdt:P527 ?v1.
  ?v1 wdt:P31 wd:Q1760309.
}","SELECT (COUNT(?pitchClass) AS ?count) WHERE {
  ?chromaticScale wdt:P527 ?pitchClass.
  ?pitchClass wdt:P31 wd:Q1760309.
}",21,1022,1,,,1,,,,,,,,1
73,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 wdt:P31 wd:Q7725634;
    wdt:P7937 wd:Q25379;
    wdt:P50 wd:Q692;
    wdt:P571 ?v3.
  FILTER((YEAR(?v3)) < 1600 )
}","http://www.wikidata.org/entity/Q232042 http://www.wikidata.org/prop/direct/P7937 http://www.wikidata.org/entity/Q25379 .  SELECT (COUNT(?play) AS ?plays) WHERE {    ?play wdt:P50 wd:Q692 ;         wdt:P31 wd:Q7725634 ;         wdt:P571 ?date .   FILTER (?date >= ""1596-01-01T00:00:00Z",21,,FALSE,,,,1,,1,,,,,2
74,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 wdt:P31 wd:Q7725634;
    wdt:P50 wd:Q6711;
    (wdt:P136/(wdt:P279*)) wd:Q482.
}","SELECT (COUNT(?uri) AS ?count) WHERE {
  ?uri wdt:P50 wd:Q6711;
    wdt:P31 wd:Q7725634.
}",3,11,1,,1,1,,,,,,,,2
75,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 (wdt:P31/(wdt:P279*)) wd:Q7278;
    p:P1410 ?v3.
  ?v3 pq:P194 wd:Q154797;
    ps:P1410 ?v4.
  FILTER(?v4 > 0 )
}","SELECT (COUNT(?uri) AS ?count) WHERE {
  ?uri pq:P194 wd:Q154797;
    ps:P1410 ?seats.
}",8,10,1,,1,1,,,,,,,,2
76,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q7191 wdt:P527 ?v1;
    wdt:P112 wd:Q23810.
}","SELECT (COUNT(?prize) AS ?count) WHERE {
  ?prize wdt:P527 wd:Q7191.
  wd:Q7191 wdt:P112 wd:Q23810.
}",5,0,1,,,1,,,,,,,,1
77,"ASK {
  ?v1 wdt:P31 wd:Q2133344, wd:Q99654400;
    wdt:P137 wd:Q193701.
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/SpaceX_CRS-7> a ns1:SpaceMission ;     ns1:launchOutcome <http://dbpedia.org/resource/Failed_launch> ;     ns1:operator <http://dbpedia.org/resource/SpaceX> .   SELECT ?mission WHERE { ?mission <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://db,false  ,,FALSE,1,,,1,,,,1,,,3
78,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 wdt:P31 wd:Q5;
    wdt:P1411 wd:Q44585.
  FILTER(NOT EXISTS { ?v1 wdt:P166 wd:Q44585. })
}","SELECT (COUNT(?person) AS ?count) WHERE {
  ?person wdt:P31 wd:Q5;
    wdt:P1411 wd:Q44585.
  MINUS { ?person wdt:P166 ?nobelPrize. }
}",359,76,1,,1,,,,,,,,,1
79,"SELECT ?v1 WHERE { 
  wd:Q30603704 wdt:P2437 ?v1. 
}","SELECT (COUNT(?result) AS ?seasons) WHERE { 
  wd:Q30603704 wdt:P2437 ?result. 
}",3,1,1,,1,,,,,,,,,1
80,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q523076 wdt:P50 ?v3.
  ?v3 wdt:P3373 ?v1.
}","SELECT (COUNT(?sibling) AS ?numSiblings) WHERE {
  ?author wdt:P50 ?sibling.
  FILTER(?author = wd:Q523076)
}",3,1,1,,1,1,,,,,,,,2
81,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q1621261 wdt:P1441 ?v1.
  ?v1 wdt:P144 wd:Q79037.
}",@prefix ns1: <http://dbpedia.org/property/> .  <http://dbpedia.org/resource/Venom_(comics)> a <http://dbpedia.org/class/yago/FictionalCharactersIntroducedIn1988> ;     ns1:basedOn <http://dbpedia.org/resource/Spider-Man> .  <http://dbpedia.org/resource/Venom_in_other_media> a <http://dbpedia.org/class/yago/WorksBasedOnSpider-Man> .   SELECT (,0,,FALSE,,,,1,,,,1,,,2
82,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE { 
  wd:Q158861 wdt:P26 ?v1. 
}",SELECT (COUNT(?sp) AS ?numSpouses) WHERE { http://www.wikidata.org/entity/Q158861 http://www.wikidata.org/prop/direct/P26 ?sp . },68,,FALSE,,,,,,1,,,,,1
83,"ASK {
  wd:Q39 wdt:P1332 ?v1.
  FILTER(?v1 > ""Point ( 8.57 47.8 ) ""^^geo:wktLiteral)
}","SELECT ?loc WHERE {
  wd:Q39 wdt:P1332 ?loc.
  FILTER(?loc > ""8.57 47.8"")
}",false  ,-,1,1,,,,,,,,,,1
84,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q312674 p:P166 ?v1.
  ?v1 (ps:P166/wdt:P31) wd:Q1011547.
}","SELECT (COUNT(?statement) AS ?count) WHERE {
  ?statement wdt:P166 wd:Q312674;
    wdt:P31 wd:Q171299.
}",4,0,1,,1,,,,,,,,,1
85,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q25369 wdt:P1344 ?v1.
  ?v1 (wdt:P31/wdt:P279) wd:Q5389.
}","SELECT (COUNT(?uri) AS ?count) WHERE {
  ?uri wdt:P1344 wd:Q25369;
    wdt:P31 wd:Q127288.
}",2,0,1,,1,,,,,,,,,1
86,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q110719 p:P39 ?v1.
  ?v1 ps:P39 wd:Q18130478.
}","SELECT (COUNT(?statement) AS ?count) WHERE {
  ?statement p:P39 wd:Q18130478.
  wd:Q110719 p:P39 ?statement.
}",8,0,1,,,1,,,,,,,,1
87,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q188712 wdt:P1344 ?v1.
  ?v1 wdt:P31 wd:Q198.
}",SELECT (COUNT(?war) AS ?count) WHERE {    ?empire <http://www.wikidata.org/prop/direct/P1344> ?war .    ?war <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q198> .    ?empire <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q188712> .,4,,FALSE,,,,1,,,,,,,1
88,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q152778 wdt:P112 ?v1.
  ?v1 wdt:P21 wd:Q6581072.
}","@prefix ns1: <http://dbpedia.org/ontology/> . @prefix ns2: <http://dbpedia.org/property/> .  <http://dbpedia.org/resource/Die_Brücke> a ns1:Organisation ;     ns1:foundingYear ""1905"" ;     ns2:foundingMembers ""Ernst Ludwig Kirchner, Fritz Bleyl, Erich Heckel, Karl Schmidt-Rottluff, Max Pechstein, Otto Mueller, Emil Nolde, César Klein, Max Ernst, and",0,,FALSE,,,,,1,,,1,,,2
89,"SELECT DISTINCT ?v1 WHERE {
  ?v1 wdt:P4214 ?v2.
  FILTER(?v1 IN(wd:Q174199, wd:Q36341))
}
ORDER BY DESC (?v2)
LIMIT 1","SELECT ?animal ?lifespan WHERE {    { <http://www.wikidata.org/entity/Q174199> <http://www.wikidata.org/prop/direct/P4214> ?lifespan }    UNION    { <http://www.wikidata.org/entity/Q36341> <http://www.wikidata.org/prop/direct/P4214> ?lifespan }    BIND (IF(?lifespan = 51.6, ""Common Bottlenose Dolphin",wd:Q174199,,FALSE,,1,,1,,,,,,,2
90,"SELECT ?v1 WHERE { 
  wd:Q18032040 wdt:P31 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q18032040 http://www.wikidata.org/prop/direct/P31 ?result },wd:Q7187,,FALSE,,,,,,1,,,,,1
91,"SELECT (COUNT(?v1) AS ?v2) WHERE {
  wd:Q242643 (p:P166/ps:P166) ?v1.
  FILTER(?v1 = wd:Q194285)
}","@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Naomi_Novik> ns1:award ""?uri"" .  SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Naomi_Novik> <http://dbpedia.org/ontology/award> ?uri FILTER regex(?uri, ""Nebula Award"") }",1,,FALSE,,1,,,,,,1,,,2
92,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE { 
  wd:Q208156 wdt:P585 ?v1. 
}","SELECT DISTINCT ?time WHERE { 
  wd:Q208156 wdt:P585 ?time. 
}",2,"1 January 1281
1 January 1274",1,,1,,,,,,,,,1
93,"SELECT (COUNT(?v1) AS ?v2) WHERE {
  wd:Q242643 (p:P1411/ps:P1411) ?v1.
  FILTER(?v1 = wd:Q188914)
}","@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Naomi_Novik> ns1:award ""?uri"" .  SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Naomi_Novik> <http://dbpedia.org/ontology/award> ?uri . FILTER regex(?uri, ""Hugo Award"") }",1,,FALSE,,1,,,,,,1,,,2
94,"ASK WHERE {
  wd:Q623561 wdt:P138 ?v1;
    wdt:P61 ?v2.
  FILTER(?v2 = ?v1)
}",SELECT (YEAR(?deathDate) - YEAR(?birthDate)) AS ?yearsLived WHERE {    ?entity wdt:P31 wd:Q144 .    ?entity wdt:P569 ?birthDate .    ?entity wdt:P570 ?deathDate .    FILTER (?deathDate > ?birthDate)    FILTER NOT EXISTS {      ?otherEntity wdt:P31 wd:Q144 .      ?otherEntity wdt:P569 ?otherBirthDate .,30,,FALSE,1,,,1,,,,,,,2
95,"ASK {
  wd:Q15862 wdt:P2031 ?v1.
  FILTER((YEAR(?v1)) <= 1969 )
}","SELECT ?start WHERE {
  ?start wdt:P2031 1969 .
  FILTER(EXISTS { wd:Q15862 wdt:P2031 ?start. })
}",false ,-,1,,1,,,,,,,,,1
96,"ASK {
  wd:Q623561 wdt:P138 ?v1;
    wdt:P61 ?v2.
  FILTER(?v2 = ?v1)
}","SELECT ?inv WHERE {
  wd:Q623561 wdt:P61 ?inv;
    wdt:P138 ""Dr. Pepper"".
}",false ,,FALSE,1,1,,,,,,,,,2
97,"SELECT ?v1 WHERE {
  wd:Q92580 wdt:P495 ?v2.
  ?v2 wdt:P35 ?v1.
}","SELECT ?head WHERE {
  ?country wdt:P495 wd:Q92580;
    wdt:P35 ?head.
  FILTER(NOT EXISTS { ?head wdt:P576 _:b1. })
}",wd:Q217096,-,1,,1,,,,,,,,,1
98,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q68061 (wdt:P740/(wdt:P131*)) ?v3.
  ?v3 wdt:P31 wd:Q35657;
    wdt:P206 ?v1.
  ?v1 wdt:P31 wd:Q4022.
}","SELECT (COUNT(?river) AS ?numRivers) WHERE {
  ?state wdt:P31 wd:Q35657;
    wdt:P206 wd:Q859238.
  ?river wdt:P31 wd:Q4022;
    wdt:P206 ?state.
}",2,0,1,,1,,,,,,,,,1
99,"SELECT ?v1 WHERE {
  wd:Q608350 wdt:P159 ?v2.
  ?v2 (wdt:P131*) ?v1.
  ?v1 wdt:P31 wd:Q1221156.
}","SELECT ?uri WHERE {
  ?uri wdt:P159 wd:Q608350;
    wdt:P131 wd:Q1198.
}",wd:Q1198,-,1,,1,1,,,,,,,,2
100,"SELECT ?v1 WHERE { 
  wd:Q213417 wdt:P115 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q213417 http://www.wikidata.org/prop/direct/P115 ?result },wd:Q753529,,FALSE,,,,,,1,,,,,1
101,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q1769361 wdt:P527 ?v1.
  ?v1 (p:P31/ps:P31) wd:Q6256.
}","SELECT (COUNT(?country) AS ?count) WHERE {
  ?company wdt:P527 ?country.
  FILTER(?company = wd:Q1769361)
}",55,58,1,,1,,,,,,,,,1
102,"SELECT ?v1 WHERE {
  wd:Q1771942 (wdt:P159/(wdt:P131*)) ?v1.
  ?v1 wdt:P31 wd:Q6256.
}","SELECT ?v1 WHERE { 
  wd:Q30 wdt:P159 ?v1. 
}",wd:Q30,-,1,,1,1,,,,,,,,2
103,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE { 
  wd:Q3233785 wdt:P17 ?v1. 
}","SELECT (COUNT(?c) AS ?count) WHERE { 
  ?c wdt:P17 wd:Q3233785. 
}",15,0,1,,,1,,,,,,,,1
104,"SELECT ?v1 WHERE {
  wd:Q1128775 wdt:P175 wd:Q1744;
    wdt:P138 ?v1.
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q1128775 http://www.wikidata.org/prop/direct/P138 ?result . http://www.wikidata.org/entity/Q1128775 http://www.wikidata.org/prop/direct/P175 http://www.wikidata.org/entity/Q1744 . },wd:Q1112128,,FALSE,,,,,,1,,,,,1
105,"SELECT ?v1 WHERE {
  wd:Q30 wdt:P1813 ?v2.
  BIND(LANG(?v2) AS ?v1)
}
ORDER BY (STRLEN(?v2))
LIMIT 1",SELECT ?name WHERE { http://www.wikidata.org/entity/Q30 http://www.wikidata.org/prop/direct/P1813 ?name . } ORDER BY LEN(?name) ASC LIMIT 1,en,,FALSE,,1,,,,1,,,,,2
106,"ASK {
  wd:Q2706 wdt:P473 ?v1.
  FILTER(REGEX(?v1, ""^4""))
}","SELECT ?code WHERE {
  wd:Q2706 wdt:P473 ?code.
  FILTER(STRSTARTS(?code, ""4""))
}",false ,-,1,1,1,,,,,,,,,2
107,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 wdt:P31 wd:Q11424;
    wdt:P161 wd:Q37175.
}","SELECT (COUNT(?movie) AS ?count) WHERE { 
  ?movie wdt:P161 wd:Q37175. 
}",75,87,1,,,1,,,,,,,,1
108,"SELECT ?v1 WHERE {
  wd:Q338553 wdt:P577 ?v2.
  BIND(YEAR(?v2) AS ?v1)
}","SELECT ?date WHERE { 
  wd:Q338553 wdt:P577 ?date. 
}",1981,30 November 1981,1,,1,,,,,,,,,1
109,"SELECT ?v1 WHERE {
  wd:Q98476957 (wdt:P50/wdt:P569) ?v2.
  BIND(YEAR(?v2) AS ?v1)
}","@prefix ns1: <http://dbpedia.org/ontology/> .  @prefix ns2: <http://dbpedia.org/property/> .  <http://dbpedia.org/resource/Brit_Bennett> a ns1:Writer ;      ns2:birthDate ""1990-03-02""^^xsd:date .  SELECT ?birthDate WHERE {    ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ont",1990,,FALSE,,1,,1,,,,1,,,3
110,"ASK WHERE { 
  wd:Q125054 (wdt:P527/wdt:P17) wd:Q38. 
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Aldi> a ns1:Company ;     ns1:location <http://dbpedia.org/resource/Germany> .   SELECT ?uri WHERE { <http://dbpedia.org/resource/Aldi> <http://dbpedia.org/ontology/location> ?uri . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://,true ,,FALSE,1,,,1,,,,1,,,3
111,"ASK WHERE { 
  wd:Q42053 wdt:P31 wd:Q1549591. 
}","SELECT ?uri WHERE {
  wd:Q42053 wdt:P31 ?uri.
  ?uri wdt:P31 wd:Q1549591.
}",true ,-,1,1,,,,,,,,,,1
112,"ASK WHERE {
  wd:Q395 ?v1 _:b3.
  _:b3 ?v2 wd:Q336.
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Mathematics> a ns1:Discipline ;     ns1:relatedTo <http://dbpedia.org/resource/Science> .   SELECT ?uri WHERE { <http://dbpedia.org/resource/Mathematics> <http://dbpedia.org/ontology/relatedTo> ?uri . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,true ,,FALSE,1,,,1,,,,1,,,3
113,"ASK WHERE { 
  wd:Q28865 (p:P31/ps:P31) wd:Q9143. 
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Python_(programming_language)> ns1:subclassOf ?uri .  SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Python_(programming_language)> <http://dbpedia.org/ontology/subclassOf> ?uri },true ,,FALSE,1,1,,,,,,1,,,3
114,"SELECT ?v1 WHERE {
  wd:Q143276 (wdt:P31/(wdt:P279*)) ?v1.
  FILTER(?v1 IN(wd:Q104640197, wd:Q1213562))
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Samurai_Champloo> a ns1:Work ;     ns1:adaptationOf ?uri .  SELECT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Work> ; <http://dbpedia.org/ontology/adaptationOf> <http://dbpedia.org/resource/,wd:Q104640197,,FALSE,,1,,1,,,,1,,,3
115,"ASK {
  {
    SELECT ?v1 WHERE {
      wd:Q183 p:P6 ?v2.
      ?v2 ps:P6 ?v1;
        pq:P580 ?v3.
      ?v1 wdt:P21 wd:Q6581072.
    }
    ORDER BY (?v3)
    LIMIT 1
  }
  FILTER(EXISTS { ?v1 (p:P26/ps:P26) ?v4. })
}","SELECT ?uri WHERE {
  ?uri wdt:P21 wd:Q567;
    wdt:P26 ?marriage.
}",true ,-,1,1,1,1,,,,,,,,3
116,"ASK WHERE {
  wd:Q510 wdt:P2044 ?v1.
  wd:Q513 wdt:P2044 ?v2.
  FILTER((?v1 + ?v2) < 0 )
}","SELECT ?h ?d WHERE {
  wd:Q513 wdt:P2044 ?h.
  wd:Q510 wdt:P2044 ?d.
  FILTER(?h > ?d)
}",true ,"h                   d
8848.86        -10984",1,1,,,,,,,,,,1
117,"ASK WHERE {
  {
    SELECT (COUNT(DISTINCT ?v1) AS ?v2) (COUNT(DISTINCT ?v3) AS ?v4) WHERE {
      ?v3 (p:P31/ps:P31) wd:Q6256;
        wdt:P30 wd:Q46.
      ?v1 (p:P31/ps:P31) wd:Q6256;
        wdt:P30 wd:Q48.
    }
  }
  FILTER(?v4 > ?v2)
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Europe> ns1:numberOfCountries ?n1 .  <http://dbpedia.org/resource/Asia> ns1:numberOfCountries ?n2 .  SELECT DISTINCT ?n1 ?n2 WHERE { <http://dbpedia.org/resource/Europe> <http://dbpedia.org/ontology/numberOfCountries> ?n1 .  <http://dbpedia.org/resource/Asia,true ,,FALSE,1,1,,1,,,,1,,,4
118,"ASK WHERE {
  wd:Q696071 wdt:P674 ?v1.
  ?v1 wdt:P21 wd:Q6581072.
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Hunter_x_Hunter> ns1:mainCharacter <http://dbpedia.org/resource/Gon_Freecss> ;                                                ns1:mainCharacter <http://dbpedia.org/resource/Killua_Zoldyck> .  SELECT ?uri WHERE { ?uri <http://dbpedia.org/ontology/mainCharacter> <http://dbpedia.org/resource/Hunter_x_Hunter> ; <,false ,,FALSE,1,,,1,,,,1,,,3
119,"ASK WHERE { 
  wd:Q283 wdt:P462 wd:Q11567495. 
}","SELECT ?uri WHERE { 
  ?uri wdt:P462 wd:Q11567495. 
}",false ,"wd:Q61457
 wd:Q411430
 wd:Q2235552
 wd:Q3621429
 wd:Q4023579
 wd:Q17064584
 wd:Q19833354
 wd:Q19841454
 wd:Q20963640
 wd:Q29053744
 wd:Q111549441",1,1,,,,,,,,,,1
120,"ASK WHERE { 
  wd:Q11885 wdt:P463 wd:Q11895. 
}","SELECT ?uri WHERE {
  ?uri wdt:P463 wd:Q11895.
  FILTER(?uri = wd:Q11885)
}",true ,wd:Q11885,1,1,,,,,,,,,,1
121,"ASK WHERE {
  wd:Q794 (wdt:P36/wdt:P2046) ?v1.
  wd:Q183 (wdt:P36/wdt:P2046) ?v2.
  FILTER(?v1 > ?v2)
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Iran> a ns1:Country ;     ns1:capital <http://dbpedia.org/resource/Tehran> .   <http://dbpedia.org/resource/Germany> a ns1:Country ;     ns1:capital <http://dbpedia.org/resource/Berlin> .  SELECT ?tehran ?berlin WHERE {    ?iran ns1:capital ?tehran .    ?germany ns,false ,,FALSE,1,1,,1,,,,1,,,4
